"Tabela 137 - População residente, por religião"
"Variável - População residente (Pessoas)"
"Município","Ano x Religião"
"Município","2000"
"Município","Total","Católica Apostólica Romana","Evangélicas","Outras religiosidades cristãs","Testemunhas de Jeová","Espírita","Umbanda e Candomblé","Judaica","Judaísmo","Budismo","Islâmica","Islamismo","Sem religião","Não determinada e multiplo pertencimento"
"São José do Alegre (MG)","3802","3353","377","...","-","-","...","-","...","-","-","...","60","..."
"São José do Divino (MG)","3863","2534","690","...","6","-","...","-","...","-","-","...","628","..."
"São José do Goiabal (MG)","6009","5330","548","...","-","4","...","-","...","-","-","...","117","..."
"São José do Jacuri (MG)","6789","6178","573","...","-","8","...","-","...","-","-","...","15","..."
"São José do Mantimento (MG)","2379","1633","601","...","-","9","...","-","...","-","-","...","136","..."
"São Lourenço (MG)","36927","27859","5893","...","327","547","...","-","...","9","-","...","1669","..."
"São Miguel do Anta (MG)","6641","6026","498","...","-","-","...","-","...","-","-","...","74","..."
"São Pedro da União (MG)","5618","5070","415","...","-","23","...","-","...","12","-","...","94","..."
"São Pedro dos Ferros (MG)","9239","8201","884","...","30","29","...","-","...","-","-","...","90","..."
"São Pedro do Suaçuí (MG)","6081","5320","729","...","18","-","...","-","...","-","-","...","14","..."
"São Romão (MG)","7783","7302","393","...","-","8","...","-","...","-","-","...","52","..."
"São Roque de Minas (MG)","6325","5487","408","...","52","257","...","-","...","-","-","...","97","..."
"São Sebastião da Bela Vista (MG)","4311","3270","766","...","-","-","...","-","...","-","-","...","276","..."
"São Sebastião da Vargem Alegre (MG)","2632","2345","263","...","-","-","...","-","...","-","-","...","19","..."
"São Sebastião do Anta (MG)","4779","4068","606","...","-","-","...","-","...","-","-","...","99","..."
"São Sebastião do Maranhão (MG)","11604","9704","1663","...","-","-","...","-","...","-","-","...","225","..."
"São Sebastião do Oeste (MG)","4656","4549","78","...","-","-","...","-","...","-","-","...","24","..."
"São Sebastião do Paraíso (MG)","58335","48351","4973","...","554","2172","...","-","...","47","-","...","2029","..."
"São Sebastião do Rio Preto (MG)","1779","1688","83","...","-","2","...","-","...","-","-","...","-","..."
"São Sebastião do Rio Verde (MG)","1976","1716","252","...","-","9","...","-","...","-","-","...","-","..."
"São Tiago (MG)","10245","9706","457","...","24","4","...","-","...","-","-","...","53","..."
"São Tomás de Aquino (MG)","7303","6688","461","...","10","35","...","-","...","-","-","...","100","..."
"São Thomé das Letras (MG)","6204","5640","143","...","-","20","...","-","...","-","-","...","215","..."
"São Vicente de Minas (MG)","6163","5837","263","...","31","4","...","-","...","-","-","...","28","..."
"Sapucaí-Mirim (MG)","5455","4913","408","...","8","21","...","-","...","-","-","...","104","..."
"Sardoá (MG)","4775","4187","324","...","34","-","...","-","...","-","-","...","231","..."
"Sarzedo (MG)","17274","11223","4555","...","158","99","...","-","...","-","-","...","1155","..."
"Setubinha (MG)","9291","7962","1268","...","-","-","...","-","...","-","-","...","42","..."
"Sem-Peixe (MG)","3170","2984","135","...","-","-","...","-","...","-","-","...","51","..."
"Senador Amaral (MG)","5128","4712","341","...","-","-","...","-","...","-","-","...","70","..."
"Senador Cortes (MG)","2000","1719","173","...","-","22","...","-","...","-","-","...","82","..."
"Senador Firmino (MG)","6598","6351","214","...","-","-","...","-","...","-","-","...","33","..."
"Senador José Bento (MG)","2452","2272","111","...","-","-","...","-","...","-","-","...","28","..."
"Senador Modestino Gonçalves (MG)","5190","4870","305","...","-","-","...","-","...","-","-","...","3","..."
"Senhora de Oliveira (MG)","5643","5414","174","...","-","-","...","-","...","-","-","...","55","..."
"Senhora do Porto (MG)","3520","3380","87","...","-","17","...","-","...","-","-","...","30","..."
"Senhora dos Remédios (MG)","10277","10157","63","...","12","-","...","-","...","-","-","...","22","..."
"Sericita (MG)","6990","5596","911","...","-","-","...","-","...","-","-","...","482","..."
"Seritinga (MG)","1738","1544","121","...","28","-","...","-","...","-","-","...","29","..."
"Serra Azul de Minas (MG)","4238","3699","530","...","-","-","...","-","...","-","-","...","3","..."
"Serra da Saudade (MG)","873","812","57","...","-","-","...","-","...","-","-","...","5","..."
"Serra dos Aimorés (MG)","8182","6319","1004","...","56","38","...","-","...","-","-","...","665","..."
"Serra do Salitre (MG)","9390","8221","849","...","5","14","...","-","...","-","-","...","275","..."
"Serrania (MG)","7504","6424","907","...","19","26","...","-","...","-","-","...","75","..."
"Serranópolis de Minas (MG)","4038","3732","232","...","-","-","...","-","...","-","-","...","8","..."
"Serranos (MG)","2071","1994","49","...","13","-","...","-","...","-","-","...","11","..."
"Serro (MG)","21012","19772","1019","...","-","70","...","-","...","-","-","...","111","..."
"Sete Lagoas (MG)","184871","153768","18586","...","1547","2923","...","-","...","21","9","...","5681","..."
"Silveirânia (MG)","2138","2109","12","...","-","-","...","-","...","-","-","...","17","..."
"Silvianópolis (MG)","5855","5246","492","...","35","29","...","-","...","-","-","...","39","..."
"Simão Pereira (MG)","2479","2113","241","...","-","-","...","-","...","6","-","...","115","..."
"Simonésia (MG)","16875","14445","1814","...","-","42","...","-","...","-","-","...","429","..."
"Sobrália (MG)","6284","4682","1165","...","113","-","...","-","...","2","-","...","281","..."
"Soledade de Minas (MG)","5155","4309","660","...","18","35","...","-","...","-","-","...","109","..."
"Tabuleiro (MG)","4572","4212","157","...","-","12","...","-","...","-","-","...","158","..."
"Taiobeiras (MG)","27347","24098","2406","...","68","89","...","-","...","12","-","...","401","..."
"Taparuba (MG)","3225","2031","903","...","-","14","...","-","...","-","-","...","264","..."
"Tapira (MG)","3327","2540","409","...","6","23","...","-","...","-","-","...","344","..."
"Tapiraí (MG)","1900","1729","80","...","13","56","...","-","...","-","-","...","23","..."
"Taquaraçu de Minas (MG)","3529","3151","302","...","10","-","...","-","...","-","-","...","62","..."
"Tarumirim (MG)","14488","11715","2028","...","7","9","...","-","...","11","-","...","529","..."
"Teixeiras (MG)","11149","10038","872","...","2","24","...","-","...","10","-","...","168","..."
"Teófilo Otoni (MG)","129424","94958","25775","...","1243","978","...","-","...","-","-","...","5398","..."
"Timóteo (MG)","71478","42864","22174","...","492","708","...","-","...","11","-","...","4725","..."
"Tiradentes (MG)","5759","4977","470","...","-","66","...","-","...","11","-","...","198","..."
"Tiros (MG)","7571","7043","414","...","32","-","...","-","...","-","-","...","68","..."
"Tocantins (MG)","15005","13100","1203","...","141","81","...","-","...","-","-","...","358","..."
"Tocos do Moji (MG)","3821","3762","46","...","-","-","...","-","...","-","-","...","-","..."
"Toledo (MG)","5222","4622","449","...","6","-","...","-","...","-","-","...","143","..."
"Tombos (MG)","11652","8540","1987","...","71","221","...","-","...","-","-","...","805","..."
"Três Corações (MG)","65291","55649","7257","...","359","489","...","10","...","90","-","...","975","..."
"Três Marias (MG)","23568","18633","3376","...","278","146","...","-","...","-","-","...","995","..."
"Três Pontas (MG)","51024","47352","2776","...","54","167","...","-","...","-","-","...","361","..."
"Tumiritinga (MG)","5831","4322","1205","...","-","-","...","-","...","-","-","...","291","..."
"Tupaciguara (MG)","23117","17428","1889","...","130","2030","...","-","...","-","-","...","1517","..."
"Turmalina (MG)","15655","12837","2084","...","-","-","...","-","...","-","-","...","678","..."
"Turvolândia (MG)","4243","3228","792","...","11","-","...","-","...","10","-","...","203","..."
"Ubá (MG)","85065","72276","6764","...","509","1673","...","-","...","-","-","...","3159","..."
"Ubaí (MG)","10774","9889","862","...","-","-","...","-","...","-","-","...","8","..."
"Ubaporanga (MG)","11902","9976","1350","...","8","54","...","-","...","-","-","...","420","..."
"Uberaba (MG)","252365","170549","20748","...","1001","31634","...","143","...","80","-","...","22428","..."
"Uberlândia (MG)","501214","325475","84083","...","4254","34362","...","-","...","506","59","...","43627","..."
"Umburatiba (MG)","2872","2141","342","...","5","-","...","-","...","-","-","...","375","..."
"Unaí (MG)","70033","59004","7396","...","196","523","...","-","...","9","-","...","1802","..."
"União de Minas (MG)","4638","4324","197","...","-","11","...","-","...","-","-","...","92","..."
"Uruana de Minas (MG)","3263","2762","373","...","14","-","...","-","...","-","-","...","92","..."
"Urucânia (MG)","10375","8830","1333","...","-","28","...","-","...","-","-","...","182","..."
"Urucuia (MG)","9615","8402","898","...","28","-","...","-","...","-","-","...","97","..."
"Vargem Alegre (MG)","6544","4140","1497","...","49","6","...","-","...","-","-","...","810","..."
"Vargem Bonita (MG)","2212","1738","288","...","-","69","...","-","...","-","-","...","96","..."
"Vargem Grande do Rio Pardo (MG)","4457","4178","274","...","-","-","...","-","...","-","-","...","-","..."
"Varginha (MG)","108998","92723","9911","...","610","2156","...","13","...","250","35","...","2581","..."
"Varjão de Minas (MG)","4701","4450","199","...","-","-","...","-","...","-","-","...","36","..."
"Várzea da Palma (MG)","31641","28053","2928","...","-","175","...","-","...","-","-","...","383","..."
"Varzelândia (MG)","19169","16773","2227","...","-","-","...","-","...","-","-","...","117","..."
"Vazante (MG)","18928","16302","1821","...","23","81","...","-","...","-","-","...","582","..."
"Verdelândia (MG)","7179","6493","318","...","-","-","...","-","...","-","-","...","283","..."
"Veredinha (MG)","5257","5041","207","...","-","-","...","-","...","-","-","...","-","..."
"Veríssimo (MG)","2959","2248","84","...","9","530","...","-","...","-","-","...","62","..."
"Vermelho Novo (MG)","4572","4457","63","...","-","6","...","-","...","-","-","...","35","..."
"Vespasiano (MG)","76422","49177","17827","...","780","478","...","-","...","-","-","...","7485","..."
"Viçosa (MG)","64854","56583","4524","...","212","870","...","21","...","23","11","...","2168","..."
"Vieiras (MG)","3952","3492","373","...","7","21","...","-","...","-","-","...","33","..."
"Mathias Lobato (MG)","3642","2882","696","...","-","-","...","-","...","-","-","...","56","..."
"Virgem da Lapa (MG)","13672","12646","822","...","51","-","...","-","...","-","-","...","130","..."
"Virgínia (MG)","8699","8241","331","...","6","-","...","-","...","-","-","...","96","..."
"Virginópolis (MG)","10827","10091","588","...","8","54","...","-","...","-","-","...","60","..."
"Virgolândia (MG)","6112","5750","316","...","12","-","...","-","...","-","-","...","10","..."
"Visconde do Rio Branco (MG)","32598","28675","2291","...","31","326","...","-","...","-","-","...","1041","..."
"Volta Grande (MG)","4919","3390","989","...","50","71","...","-","...","-","-","...","405","..."
"Wenceslau Braz (MG)","2596","2381","159","...","3","-","...","-","...","-","-","...","53","..."
"Afonso Cláudio (ES)","32232","19657","11166","...","83","68","...","-","...","-","-","...","1230","..."
"Águia Branca (ES)","9599","7742","1344","...","-","21","...","-","...","-","-","...","443","..."
"Água Doce do Norte (ES)","12835","6547","4350","...","-","5","...","-","...","-","-","...","1792","..."
"Alegre (ES)","31714","19308","6868","...","132","792","...","-","...","-","-","...","3576","..."
"Alfredo Chaves (ES)","13616","12590","813","...","30","-","...","-","...","-","-","...","179","..."
"Alto Rio Novo (ES)","6964","3272","2219","...","37","-","...","-","...","-","-","...","1377","..."
"Anchieta (ES)","19217","14207","3221","...","67","393","...","-","...","-","-","...","1268","..."
"Apiacá (ES)","7615","5759","1287","...","68","19","...","-","...","-","-","...","392","..."
"Aracruz (ES)","64637","43448","14495","...","417","437","...","-","...","24","-","...","5583","..."
"Atílio Vivacqua (ES)","8327","5539","1812","...","14","9","...","-","...","-","-","...","921","..."
"Baixo Guandu (ES)","27819","17016","8399","...","20","14","...","-","...","-","-","...","2296","..."
"Barra de São Francisco (ES)","37597","20599","10826","...","126","18","...","-","...","-","-","...","5208","..."
"Boa Esperança (ES)","13679","10820","2314","...","31","37","...","-","...","-","-","...","434","..."
"Bom Jesus do Norte (ES)","9226","6688","1498","...","203","123","...","-","...","-","-","...","675","..."
"Brejetuba (ES)","11687","7007","2649","...","5","-","...","-","...","-","-","...","1841","..."
"Cachoeiro de Itapemirim (ES)","174879","119602","38890","...","646","1312","...","-","...","8","7","...","13133","..."
"Cariacica (ES)","324285","170286","102853","...","1885","867","...","26","...","16","5","...","44445","..."
"Castelo (ES)","32756","30061","2085","...","56","93","...","-","...","-","-","...","350","..."
"Colatina (ES)","112711","89504","17545","...","305","508","...","-","...","-","-","...","4364","..."
"Conceição da Barra (ES)","26494","17783","5451","...","420","134","...","-","...","29","-","...","2529","..."
"Conceição do Castelo (ES)","10910","9395","1125","...","16","6","...","-","...","-","-","...","310","..."
"Divino de São Lourenço (ES)","4817","2984","1234","...","14","-","...","-","...","-","-","...","409","..."
"Domingos Martins (ES)","30559","17163","12699","...","-","21","...","-","...","-","-","...","628","..."
"Dores do Rio Preto (ES)","6188","4709","843","...","42","196","...","-","...","-","-","...","394","..."
"Ecoporanga (ES)","23979","17702","4226","...","55","85","...","-","...","-","-","...","1803","..."
"Fundão (ES)","13009","9795","2119","...","9","25","...","-","...","5","-","...","992","..."
"Governador Lindenberg (ES)","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"Guaçuí (ES)","25492","15461","5731","...","69","583","...","-","...","-","-","...","3148","..."
"Guarapari (ES)","88400","57792","19689","...","1264","825","...","-","...","47","9","...","7461","..."
"Ibatiba (ES)","19210","9655","3843","...","38","135","...","-","...","-","-","...","4668","..."
"Ibiraçu (ES)","10143","8009","1432","...","57","38","...","-","...","-","-","...","596","..."
"Ibitirama (ES)","9211","4198","2555","...","-","90","...","-","...","-","-","...","2066","..."
"Iconha (ES)","11481","10348","859","...","58","19","...","-","...","-","-","...","178","..."
"Irupi (ES)","10354","5523","2668","...","30","65","...","-","...","-","-","...","1675","..."
"Itaguaçu (ES)","14495","9986","4220","...","4","-","...","-","...","-","-","...","274","..."
"Itapemirim (ES)","28121","11399","10209","...","188","57","...","-","...","40","-","...","5892","..."
"Itarana (ES)","11425","7508","3658","...","34","44","...","-","...","-","-","...","177","..."
"Iúna (ES)","26112","15914","5421","...","22","198","...","-","...","-","-","...","3887","..."
"Jaguaré (ES)","19539","15621","2922","...","104","-","...","-","...","-","-","...","857","..."
"Jerônimo Monteiro (ES)","10189","6488","2277","...","31","39","...","3","...","-","-","...","1170","..."
"João Neiva (ES)","15301","12417","2098","...","79","12","...","-","...","-","-","...","662","..."
"Laranja da Terra (ES)","10934","3099","7710","...","8","-","...","-","...","-","-","...","118","..."
"Linhares (ES)","112617","80737","21069","...","1403","243","...","-","...","-","-","...","8779","..."
"Mantenópolis (ES)","12201","5555","3743","...","5","-","...","-","...","-","-","...","2728","..."
"Marataízes (ES)","30603","12706","11959","...","214","379","...","-","...","-","-","...","5169","..."
"Marechal Floriano (ES)","12188","9171","2577","...","44","-","...","-","...","-","-","...","367","..."
"Marilândia (ES)","9924","9150","694","...","27","-","...","-","...","-","-","...","49","..."
"Mimoso do Sul (ES)","26199","21091","3178","...","67","163","...","-","...","-","-","...","1669","..."
"Montanha (ES)","17263","13687","2598","...","116","-","...","-","...","-","-","...","696","..."
"Mucurici (ES)","5900","5066","456","...","4","-","...","-","...","-","-","...","345","..."
"Muniz Freire (ES)","19689","15622","3258","...","-","86","...","-","...","-","-","...","676","..."
"Muqui (ES)","13670","11182","1835","...","57","84","...","-","...","-","-","...","428","..."
"Nova Venécia (ES)","43015","32815","7513","...","219","175","...","-","...","-","-","...","1958","..."
"Pancas (ES)","20402","11207","6806","...","-","-","...","-","...","-","-","...","2203","..."
"Pedro Canário (ES)","21961","14712","4767","...","177","47","...","-","...","-","-","...","2187","..."
"Pinheiros (ES)","21320","16838","3138","...","117","22","...","-","...","-","-","...","1195","..."
"Piúma (ES)","14987","9115","3543","...","204","171","...","-","...","4","-","...","1865","..."
"Ponto Belo (ES)","6263","4912","866","...","41","4","...","-","...","-","-","...","436","..."
"Presidente Kennedy (ES)","9555","3977","2958","...","-","-","...","-","...","-","-","...","2592","..."
"Rio Bananal (ES)","16324","14772","1265","...","28","36","...","-","...","-","-","...","207","..."
"Rio Novo do Sul (ES)","11271","7568","3021","...","34","29","...","-","...","-","-","...","599","..."
"Santa Leopoldina (ES)","12463","8603","3318","...","77","5","...","-","...","-","-","...","439","..."
"Santa Maria de Jetibá (ES)","28774","5865","22402","...","29","9","...","-","...","-","-","...","323","..."
"Santa Teresa (ES)","20622","17611","2468","...","34","60","...","-","...","-","-","...","440","..."
"São Domingos do Norte (ES)","7687","6120","1383","...","-","-","...","-","...","-","-","...","166","..."
"São Gabriel da Palha (ES)","26588","19763","5741","...","62","21","...","-","...","-","-","...","926","..."
"São José do Calçado (ES)","10481","7702","2104","...","69","46","...","-","...","-","-","...","551","..."
"São Mateus (ES)","90460","60406","20416","...","507","328","...","-","...","-","-","...","8183","..."
"São Roque do Canaã (ES)","10395","9003","1298","...","-","-","...","-","...","-","-","...","92","..."
"Serra (ES)","321181","163927","98530","...","3331","2133","...","17","...","88","-","...","47781","..."
"Sooretama (ES)","18269","12932","3344","...","108","-","...","-","...","-","-","...","1863","..."
"Vargem Alta (ES)","17376","14503","2271","...","46","67","...","-","...","-","-","...","423","..."
"Venda Nova do Imigrante (ES)","16165","15038","992","...","29","30","...","-","...","-","-","...","27","..."
"Viana (ES)","53452","30769","16373","...","289","78","...","-","...","-","-","...","5454","..."
"Vila Pavão (ES)","8330","3960","3967","...","-","58","...","-","...","-","-","...","342","..."
"Vila Valério (ES)","13875","9458","3710","...","18","-","...","-","...","-","-","...","673","..."
"Vila Velha (ES)","345965","200036","97099","...","3111","4917","...","-","...","273","35","...","35570","..."
"Vitória (ES)","292304","185211","64846","...","1235","5975","...","202","...","58","-","...","30791","..."
"Angra dos Reis (RJ)","119247","65698","29051","...","1226","1643","...","16","...","664","66","...","17647","..."
"Aperibé (RJ)","8018","4796","1783","...","27","129","...","-","...","-","-","...","1079","..."
"Araruama (RJ)","82803","43462","20095","...","695","1530","...","9","...","38","-","...","14686","..."
"Areal (RJ)","9899","6492","1606","...","90","888","...","-","...","5","-","...","734","..."
"Armação dos Búzios (RJ)","18204","7675","5741","...","25","139","...","22","...","50","-","...","3875","..."
"Arraial do Cabo (RJ)","23877","12164","6434","...","15","344","...","-","...","53","-","...","4350","..."
"Barra do Piraí (RJ)","88503","57302","15756","...","457","3376","...","-","...","22","-","...","8899","..."
"Barra Mansa (RJ)","170753","114354","35905","...","2270","3818","...","-","...","128","-","...","11458","..."
"Belford Roxo (RJ)","434474","166039","130402","...","3639","2413","...","-","...","469","32","...","117380","..."
"Bom Jardim (RJ)","22651","17949","2628","...","40","159","...","-","...","-","-","...","1675","..."
"Bom Jesus do Itabapoana (RJ)","33655","24555","5759","...","188","509","...","-","...","-","-","...","2480","..."
"Cabo Frio (RJ)","126828","55363","39363","...","1229","1965","...","25","...","54","10","...","25714","..."
"Cachoeiras de Macacu (RJ)","48543","20560","13643","...","267","253","...","-","...","113","7","...","12971","..."
"Cambuci (RJ)","14670","9540","2755","...","53","72","...","-","...","13","-","...","2151","..."
"Carapebus (RJ)","8666","5877","1774","...","68","28","...","-","...","-","-","...","862","..."
"Comendador Levy Gasparian (RJ)","7924","5912","1410","...","21","173","...","-","...","5","-","...","379","..."
"Campos dos Goytacazes (RJ)","407168","241206","84647","...","2281","9162","...","-","...","169","12","...","62764","..."
"Cantagalo (RJ)","19835","14976","2894","...","182","290","...","-","...","-","-","...","1365","..."
"Cardoso Moreira (RJ)","12595","5595","3381","...","31","52","...","9","...","-","-","...","3482","..."
"Carmo (RJ)","15289","11199","2303","...","13","659","...","-","...","-","-","...","1074","..."
"Casimiro de Abreu (RJ)","22152","9339","6860","...","104","270","...","-","...","-","-","...","5203","..."
"Conceição de Macabu (RJ)","18782","10771","4965","...","30","204","...","-","...","-","-","...","2652","..."
"Cordeiro (RJ)","18601","11871","3726","...","170","234","...","-","...","-","-","...","2476","..."
"Duas Barras (RJ)","10334","8507","1251","...","57","56","...","-","...","-","-","...","455","..."
"Duque de Caxias (RJ)","775456","352215","212468","...","8452","8214","...","75","...","1385","33","...","168596","..."
"Engenheiro Paulo de Frontin (RJ)","12164","6333","2994","...","138","152","...","-","...","6","-","...","2327","..."
"Guapimirim (RJ)","37952","17693","11219","...","309","486","...","17","...","-","-","...","7668","..."
"Iguaba Grande (RJ)","15089","8380","3312","...","108","270","...","10","...","6","-","...","2378","..."
"Itaboraí (RJ)","187479","81536","56203","...","1814","1101","...","-","...","109","-","...","42080","..."
"Itaguaí (RJ)","82003","35202","24364","...","528","669","...","-","...","127","-","...","18780","..."
"Italva (RJ)","12621","5822","3963","...","33","33","...","-","...","-","-","...","2678","..."
"Itaocara (RJ)","23003","16273","5136","...","64","186","...","-","...","25","-","...","1108","..."
"Itaperuna (RJ)","86720","52789","23539","...","369","1408","...","-","...","75","-","...","7073","..."
"Itatiaia (RJ)","24739","17664","4166","...","299","412","...","-","...","30","-","...","1789","..."
"Japeri (RJ)","83278","30667","27405","...","1017","456","...","10","...","17","20","...","21706","..."
"Laje do Muriaé (RJ)","7909","6562","696","...","32","43","...","-","...","-","-","...","511","..."
"Macaé (RJ)","132461","64787","34482","...","675","4334","...","-","...","38","-","...","25439","..."
"Macuco (RJ)","4886","3579","912","...","19","8","...","-","...","-","-","...","313","..."
"Magé (RJ)","205830","101740","54114","...","1452","2601","...","67","...","868","-","...","40702","..."
"Mangaratiba (RJ)","24901","13677","5432","...","116","346","...","-","...","68","8","...","3238","..."
"Maricá (RJ)","76737","41987","15280","...","671","1385","...","-","...","9","-","...","14558","..."
"Mendes (RJ)","17289","12231","2619","...","217","383","...","-","...","-","-","...","1619","..."
"Mesquita (RJ)","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"Miguel Pereira (RJ)","23902","13077","4459","...","158","1199","...","11","...","121","-","...","3858","..."
"Miracema (RJ)","27064","22414","3423","...","378","88","...","-","...","-","-","...","604","..."
"Natividade (RJ)","15125","11067","2650","...","75","458","...","-","...","-","-","...","671","..."
"Nilópolis (RJ)","153712","78905","40232","...","1334","3763","...","133","...","155","-","...","24398","..."
"Niterói (RJ)","459451","283246","70823","...","1761","20465","...","517","...","484","33","...","63801","..."
"Nova Friburgo (RJ)","173418","108579","32217","...","2232","3454","...","40","...","184","24","...","23302","..."
"Nova Iguaçu (RJ)","920599","397177","267975","...","9840","12891","...","124","...","1045","138","...","201396","..."
"Paracambi (RJ)","40475","17567","13059","...","599","258","...","-","...","8","-","...","6611","..."
"Paraíba do Sul (RJ)","37410","27091","6514","...","87","970","...","-","...","12","-","...","2152","..."
"Paraty (RJ)","29544","16133","6716","...","175","394","...","16","...","24","-","...","4688","..."
"Paty do Alferes (RJ)","24931","11105","8229","...","101","324","...","-","...","9","-","...","4963","..."
"Petrópolis (RJ)","286537","193037","54364","...","1339","7841","...","295","...","244","16","...","21584","..."
"Pinheiral (RJ)","19481","12578","3513","...","133","983","...","-","...","-","-","...","1958","..."
"Piraí (RJ)","22118","12570","5361","...","76","544","...","-","...","-","-","...","2490","..."
"Porciúncula (RJ)","16093","12184","1927","...","62","161","...","-","...","-","-","...","1198","..."
"Porto Real (RJ)","12095","9009","1914","...","185","73","...","-","...","-","-","...","781","..."
"Quatis (RJ)","10730","8768","969","...","59","169","...","-","...","-","-","...","753","..."
"Queimados (RJ)","121993","46782","39812","...","1348","965","...","-","...","-","39","...","30441","..."
"Quissamã (RJ)","13674","10652","1650","...","78","28","...","-","...","6","-","...","1055","..."
"Resende (RJ)","104549","74776","17904","...","1355","1707","...","54","...","120","23","...","6813","..."
"Rio Bonito (RJ)","49691","22927","14684","...","324","358","...","-","...","10","-","...","11028","..."
"Rio Claro (RJ)","16228","12955","1994","...","36","178","...","-","...","-","-","...","960","..."
"Rio das Flores (RJ)","7625","5642","825","...","11","100","...","-","...","-","-","...","568","..."
"Rio das Ostras (RJ)","36419","16806","9728","...","174","866","...","59","...","9","-","...","7883","..."
"Rio de Janeiro (RJ)","5857904","3556096","1034009","...","36273","201714","...","23862","...","12741","656","...","781080","..."
"Santa Maria Madalena (RJ)","10476","8050","1539","...","-","117","...","-","...","-","-","...","757","..."
"Santo Antônio de Pádua (RJ)","38692","26381","9180","...","127","237","...","-","...","11","-","...","2614","..."
"São Francisco de Itabapoana (RJ)","41475","22876","9733","...","61","73","...","-","...","-","-","...","8600","..."
"São Fidélis (RJ)","36789","20021","9946","...","125","431","...","-","...","4","-","...","6175","..."
"São Gonçalo (RJ)","891119","439282","236168","...","8322","9370","...","116","...","836","42","...","166825","..."
"São João da Barra (RJ)","27682","21177","3119","...","176","468","...","-","...","-","-","...","2502","..."
"São João de Meriti (RJ)","449476","205332","129460","...","4367","3981","...","31","...","759","-","...","91529","..."
"São José de Ubá (RJ)","6413","3946","1431","...","-","8","...","-","...","-","-","...","1003","..."
"São José do Vale do Rio Preto (RJ)","19278","9946","6352","...","11","240","...","-","...","-","-","...","2503","..."
"São Pedro da Aldeia (RJ)","63227","28015","21048","...","400","860","...","-","...","46","-","...","11816","..."
"São Sebastião do Alto (RJ)","8402","6483","1597","...","18","10","...","-","...","-","-","...","239","..."
"Sapucaia (RJ)","17157","12733","2895","...","130","184","...","-","...","-","-","...","1061","..."
"Saquarema (RJ)","52461","26177","12188","...","587","1085","...","18","...","49","-","...","10427","..."
"Seropédica (RJ)","65260","25250","23408","...","544","649","...","-","...","46","-","...","13132","..."
"Silva Jardim (RJ)","21265","7075","7379","...","105","125","...","-","...","-","-","...","6532","..."
"Sumidouro (RJ)","14176","8295","3451","...","10","60","...","-","...","-","-","...","2248","..."
"Tanguá (RJ)","26057","10319","7998","...","202","204","...","-","...","-","-","...","7033","..."
"Teresópolis (RJ)","138081","71539","34482","...","1344","1924","...","119","...","174","34","...","25421","..."
"Trajano de Moraes (RJ)","10212","6686","2308","...","40","14","...","-","...","-","-","...","1131","..."
"Três Rios (RJ)","71976","50371","14049","...","463","2029","...","8","...","11","-","...","4228","..."
"Valença (RJ)","66308","51605","7349","...","276","2391","...","30","...","24","-","...","3692","..."
"Varre-Sai (RJ)","7854","6507","1015","...","-","4","...","-","...","-","-","...","314","..."
"Vassouras (RJ)","31451","23138","4912","...","142","506","...","-","...","14","12","...","2155","..."
"Volta Redonda (RJ)","242063","143704","55350","...","2609","12198","...","59","...","165","64","...","22667","..."
"Adamantina (SP)","33497","27603","3304","...","156","857","...","-","...","302","-","...","750","..."
"Adolfo (SP)","3684","3038","446","...","50","6","...","-","...","24","-","...","95","..."
"Aguaí (SP)","28195","22601","3466","...","410","310","...","-","...","36","-","...","1132","..."
"Águas da Prata (SP)","7131","5669","996","...","20","168","...","5","...","8","-","...","220","..."
"Águas de Lindóia (SP)","16190","13509","1652","...","129","171","...","-","...","15","-","...","604","..."
"Águas de Santa Bárbara (SP)","5224","4095","878","...","11","53","...","-","...","9","-","...","127","..."
"Águas de São Pedro (SP)","1883","1484","151","...","48","74","...","-","...","6","3","...","72","..."
"Agudos (SP)","32484","21176","7306","...","582","415","...","-","...","-","-","...","2212","..."
"Alambari (SP)","3650","2633","695","...","36","-","...","-","...","-","-","...","271","..."
"Alfredo Marcondes (SP)","3697","3195","418","...","12","-","...","-","...","33","-","...","25","..."
"Altair (SP)","3554","2757","655","...","30","13","...","-","...","-","-","...","99","..."
"Altinópolis (SP)","15481","12502","2198","...","54","62","...","-","...","16","-","...","594","..."
"Alto Alegre (SP)","4261","3534","565","...","-","50","...","-","...","5","-","...","101","..."
"Alumínio (SP)","15252","10947","3063","...","108","64","...","-","...","13","-","...","856","..."
"Álvares Florence (SP)","4316","3846","269","...","67","58","...","-","...","-","-","...","75","..."
"Álvares Machado (SP)","22661","18183","3157","...","234","160","...","-","...","103","-","...","551","..."
"Álvaro de Carvalho (SP)","4109","2895","682","...","129","15","...","-","...","-","-","...","384","..."
"Alvinlândia (SP)","2837","1984","709","...","-","-","...","-","...","-","-","...","144","..."
"Americana (SP)","182593","130708","35773","...","2425","4378","...","63","...","459","29","...","6134","..."
"Américo Brasiliense (SP)","28287","21811","4611","...","639","296","...","-","...","-","-","...","771","..."
"Américo de Campos (SP)","5594","4780","660","...","44","30","...","-","...","-","-","...","80","..."
"Amparo (SP)","60404","50739","5368","...","490","1447","...","-","...","50","-","...","1392","..."
