"Tabela 137 - População residente, por religião"
"Variável - População residente (Pessoas)"
"Município","Ano x Religião"
"Município","2000"
"Município","Total","Católica Apostólica Romana","Evangélicas","Outras religiosidades cristãs","Testemunhas de Jeová","Espírita","Umbanda e Candomblé","Judaica","Judaísmo","Budismo","Islâmica","Islamismo","Sem religião","Não determinada e multiplo pertencimento"
"Aurora do Pará (PA)","19728","14602","2858","...","-","-","...","-","...","-","-","...","2161","..."
"Aveiro (PA)","15518","11189","4003","...","31","-","...","-","...","-","-","...","211","..."
"Bagre (PA)","13708","8073","4682","...","31","-","...","-","...","-","-","...","754","..."
"Baião (PA)","21119","17123","3486","...","-","-","...","-","...","-","-","...","470","..."
"Bannach (PA)","3780","2565","918","...","5","6","...","-","...","-","-","...","286","..."
"Barcarena (PA)","63268","43144","14622","...","431","345","...","-","...","10","-","...","4262","..."
"Belém (PA)","1280614","914343","231209","...","6854","17201","...","900","...","2592","11","...","77194","..."
"Belterra (PA)","14594","11821","2119","...","123","-","...","-","...","-","-","...","323","..."
"Benevides (PA)","35546","24063","8616","...","11","100","...","-","...","-","-","...","2153","..."
"Bom Jesus do Tocantins (PA)","13106","8307","1930","...","7","18","...","-","...","-","-","...","2717","..."
"Bonito (PA)","9814","8948","744","...","6","-","...","-","...","-","-","...","102","..."
"Bragança (PA)","93779","79409","11364","...","61","48","...","-","...","11","-","...","2367","..."
"Brasil Novo (PA)","17193","11806","3388","...","5","-","...","-","...","-","-","...","1082","..."
"Brejo Grande do Araguaia (PA)","7464","5375","1346","...","-","-","...","-","...","-","-","...","458","..."
"Breu Branco (PA)","32446","23215","7070","...","63","-","...","-","...","-","-","...","2066","..."
"Breves (PA)","80158","60616","15940","...","145","9","...","-","...","-","10","...","3226","..."
"Bujaru (PA)","22508","18916","2550","...","28","31","...","-","...","-","-","...","199","..."
"Cachoeira do Piriá (PA)","15437","11046","3950","...","-","-","...","-","...","-","-","...","358","..."
"Cachoeira do Arari (PA)","16700","13435","3023","...","-","-","...","-","...","-","-","...","235","..."
"Cametá (PA)","97624","86062","9723","...","24","130","...","-","...","-","-","...","1315","..."
"Canaã dos Carajás (PA)","10922","6753","3475","...","-","-","...","-","...","15","-","...","613","..."
"Capanema (PA)","57119","48595","6620","...","222","166","...","-","...","129","-","...","1163","..."
"Capitão Poço (PA)","50815","43793","5639","...","24","-","...","-","...","36","-","...","1203","..."
"Castanhal (PA)","134496","105743","19463","...","743","315","...","-","...","101","-","...","6186","..."
"Chaves (PA)","17350","10622","4428","...","-","-","...","-","...","-","-","...","192","..."
"Colares (PA)","10632","8817","1483","...","63","4","...","-","...","-","-","...","265","..."
"Conceição do Araguaia (PA)","43386","31038","8180","...","222","151","...","-","...","-","-","...","3239","..."
"Concórdia do Pará (PA)","20956","14102","5205","...","99","-","...","-","...","-","-","...","1274","..."
"Cumaru do Norte (PA)","5978","3735","1487","...","-","-","...","-","...","-","-","...","723","..."
"Curionópolis (PA)","19486","13204","3919","...","-","11","...","-","...","-","-","...","2159","..."
"Curralinho (PA)","20016","15935","3617","...","-","-","...","-","...","-","-","...","75","..."
"Curuá (PA)","9224","8038","902","...","-","-","...","-","...","-","-","...","241","..."
"Curuçá (PA)","26160","21333","3333","...","135","-","...","14","...","-","-","...","1245","..."
"Dom Eliseu (PA)","39529","27860","6018","...","249","-","...","-","...","-","-","...","5074","..."
"Eldorado do Carajás (PA)","29608","17972","6550","...","-","60","...","-","...","58","-","...","3333","..."
"Faro (PA)","10037","8271","1043","...","4","-","...","-","...","-","-","...","712","..."
"Floresta do Araguaia (PA)","14284","10413","3001","...","9","-","...","-","...","-","-","...","825","..."
"Garrafão do Norte (PA)","24221","21396","2399","...","-","-","...","-","...","-","-","...","296","..."
"Goianésia do Pará (PA)","22685","15017","4179","...","147","14","...","-","...","-","-","...","3257","..."
"Gurupá (PA)","23098","21272","1606","...","50","-","...","-","...","-","-","...","80","..."
"Igarapé-Açu (PA)","32400","27384","3856","...","17","17","...","-","...","12","-","...","1101","..."
"Igarapé-Miri (PA)","52604","36657","11460","...","150","-","...","-","...","-","-","...","3297","..."
"Inhangapi (PA)","7681","6389","920","...","4","-","...","-","...","5","-","...","129","..."
"Ipixuna do Pará (PA)","25138","19273","3891","...","-","-","...","-","...","-","-","...","1732","..."
"Irituia (PA)","31752","22862","5986","...","271","-","...","-","...","-","-","...","2495","..."
"Itaituba (PA)","94750","65964","18470","...","427","139","...","-","...","-","-","...","8366","..."
"Itupiranga (PA)","49655","38369","8905","...","195","-","...","-","...","-","-","...","1954","..."
"Jacareacanga (PA)","22078","14133","3235","...","-","34","...","-","...","87","-","...","3859","..."
"Jacundá (PA)","40546","30283","7113","...","153","58","...","-","...","-","-","...","2631","..."
"Juruti (PA)","31198","25294","5707","...","-","-","...","-","...","-","-","...","90","..."
"Limoeiro do Ajuru (PA)","19564","13887","5197","...","9","-","...","-","...","-","-","...","406","..."
"Mãe do Rio (PA)","25351","21573","3125","...","-","-","...","-","...","-","-","...","578","..."
"Magalhães Barata (PA)","7693","6512","1019","...","-","-","...","-","...","-","-","...","144","..."
"Marabá (PA)","168020","112858","35252","...","778","453","...","-","...","56","-","...","16504","..."
"Maracanã (PA)","27571","21984","4769","...","25","19","...","-","...","-","-","...","619","..."
"Marapanim (PA)","24718","20578","3445","...","218","12","...","-","...","-","-","...","247","..."
"Marituba (PA)","74429","52885","15345","...","465","115","...","-","...","10","-","...","4947","..."
"Medicilândia (PA)","21379","14423","5486","...","-","8","...","-","...","-","-","...","1209","..."
"Melgaço (PA)","21064","13272","6628","...","-","-","...","-","...","-","-","...","1029","..."
"Mocajuba (PA)","20542","16101","3475","...","66","-","...","-","...","-","-","...","844","..."
"Moju (PA)","52941","34269","12793","...","166","17","...","-","...","-","-","...","5547","..."
"Monte Alegre (PA)","61334","46123","12103","...","41","-","...","-","...","11","-","...","2726","..."
"Muaná (PA)","25536","20386","4500","...","108","-","...","-","...","-","-","...","321","..."
"Nova Esperança do Piriá (PA)","18893","15157","3347","...","-","-","...","-","...","-","-","...","359","..."
"Nova Ipixuna (PA)","11866","8965","1944","...","69","-","...","-","...","-","-","...","874","..."
"Nova Timboteua (PA)","11406","10383","611","...","36","24","...","-","...","-","-","...","325","..."
"Novo Progresso (PA)","24948","15966","5156","...","71","22","...","-","...","-","-","...","2983","..."
"Novo Repartimento (PA)","41817","30023","7924","...","35","12","...","-","...","11","-","...","3642","..."
"Óbidos (PA)","46490","39211","5849","...","61","9","...","-","...","-","-","...","1082","..."
"Oeiras do Pará (PA)","23255","19518","3549","...","26","11","...","-","...","-","-","...","130","..."
"Oriximiná (PA)","48332","34686","7966","...","109","-","...","-","...","-","-","...","1479","..."
"Ourém (PA)","14397","13624","605","...","54","27","...","-","...","-","-","...","70","..."
"Ourilândia do Norte (PA)","19471","12226","4644","...","33","7","...","-","...","-","-","...","2393","..."
"Pacajá (PA)","28888","21821","5513","...","49","12","...","-","...","-","-","...","1174","..."
"Palestina do Pará (PA)","7544","5822","1077","...","18","4","...","-","...","-","-","...","502","..."
"Paragominas (PA)","76450","51478","15806","...","171","145","...","-","...","-","-","...","8694","..."
"Parauapebas (PA)","71568","42041","19623","...","226","233","...","-","...","20","-","...","8753","..."
"Pau D'Arco (PA)","7124","5729","1093","...","-","-","...","-","...","-","-","...","271","..."
"Peixe-Boi (PA)","7760","6694","943","...","-","31","...","-","...","-","-","...","86","..."
"Piçarra (PA)","13031","9699","3020","...","-","-","...","-","...","-","-","...","256","..."
"Placas (PA)","13394","9357","2519","...","28","-","...","-","...","-","-","...","974","..."
"Ponta de Pedras (PA)","18694","14054","3871","...","79","-","...","-","...","-","-","...","607","..."
"Portel (PA)","38043","25838","10233","...","129","-","...","-","...","-","-","...","1661","..."
"Porto de Moz (PA)","23545","19181","3556","...","7","-","...","-","...","-","-","...","595","..."
"Prainha (PA)","27301","23070","3695","...","-","-","...","-","...","-","-","...","396","..."
"Primavera (PA)","9718","8071","1060","...","46","-","...","-","...","-","-","...","504","..."
